num_acc;lum;agg;inter;atm;col;dep;date
2010000001;1;2;1;1;6;590;12/06/2010
2010000002;1;2;1;1;6;590;07/08/2010
2010000003;1;1;1;1;5;590;11/09/2010
2010000004;1;2;1;1;6;590;22/09/2010
2010000005;1;2;1;1;2;590;25/10/2010
2010000006;2;1;1;1;4;590;01/02/2010
2010000007;1;2;1;1;1;590;23/02/2010
2010000008;1;1;1;1;5;590;21/05/2010
2010000009;5;2;1;1;6;590;28/06/2010
2010000010;2;2;2;1;5;590;29/07/2010
2010000011;1;2;1;1;3;590;21/09/2010
2010000012;1;2;1;1;3;590;05/10/2010
2010000013;5;1;6;2;6;590;05/11/2010
2010000014;1;1;1;4;3;590;02/12/2010
2010000015;1;2;1;1;6;590;06/05/2010
2010000016;1;1;1;1;3;590;15/06/2010
2010000017;1;2;1;1;1;590;16/07/2010
2010000018;1;1;1;1;3;590;26/07/2010
2010000019;1;2;1;1;6;590;30/07/2010
2010000020;1;1;1;1;3;590;13/10/2010
2010000021;5;2;1;2;6;590;16/10/2010
2010000022;1;1;2;1;4;590;29/10/2010
2010000023;1;1;1;1;6;590;09/03/2010
2010000024;1;1;1;1;6;590;30/05/2010
2010000025;3;1;2;3;2;590;08/09/2010
2010000026;1;2;1;1;3;590;26/02/2010
2010000027;1;1;2;1;3;590;10/04/2010
2010000028;1;1;1;6;3;590;19/06/2010
2010000029;3;1;1;2;5;590;26/10/2010
2010000030;5;1;1;2;4;590;05/11/2010
2010000031;3;1;1;6;7;590;11/11/2010
2010000032;3;1;1;1;7;590;08/04/2010
2010000033;1;2;1;1;1;590;04/05/2010
2010000034;3;1;1;1;6;590;17/05/2010
2010000035;1;1;2;7;1;590;25/06/2010
2010000036;1;2;1;1;6;590;24/08/2010
2010000037;3;1;1;8;5;590;30/11/2010
2010000038;3;1;1;1;6;590;26/12/2010
2010000039;3;1;1;1;6;590;28/12/2010
2010000040;4;2;1;1;1;590;09/04/2010
2010000041;2;1;1;1;2;590;18/07/2010
2010000042;1;2;1;1;3;590;07/09/2010
2010000043;3;1;1;1;7;590;10/09/2010
2010000044;3;1;1;3;6;590;11/11/2010
2010000045;4;2;1;8;1;590;30/04/2010
2010000046;3;1;1;1;7;590;15/05/2010
2010000047;1;1;1;1;3;590;05/07/2010
2010000048;1;2;1;1;1;590;05/12/2010
2010000049;1;2;1;1;1;590;27/01/2010
2010000050;1;1;1;1;5;590;01/02/2010
2010000051;1;1;1;1;3;590;20/04/2010
2010000052;1;2;1;1;1;590;02/06/2010
2010000053;1;1;1;1;1;590;19/07/2010
2010000054;5;2;1;1;6;590;05/09/2010
2010000055;1;1;1;1;6;590;11/09/2010
2010000056;2;1;1;1;4;590;12/10/2010
2010000057;1;1;1;1;1;590;27/11/2010
2010000058;1;2;1;1;6;590;10/03/2010
2010000059;1;2;1;1;1;590;15/05/2010
2010000060;1;1;1;1;1;590;03/06/2010
2010000061;3;1;1;1;6;590;22/08/2010
2010000062;5;2;1;9;6;590;17/12/2010
2010000063;1;1;1;1;3;590;02/03/2010
2010000064;1;2;8;1;1;590;27/03/2010
2010000065;1;1;1;1;3;590;16/04/2010
2010000066;1;1;2;1;3;590;14/06/2010
2010000067;1;1;1;1;3;590;06/07/2010
2010000068;1;1;1;1;2;590;20/08/2010
2010000069;1;2;1;1;1;590;21/08/2010
2010000070;1;1;1;1;3;590;20/08/2010
2010000071;3;1;1;1;6;590;18/09/2010
2010000072;3;1;1;1;7;590;23/09/2010
2010000073;1;1;1;1;1;590;03/10/2010
2010000074;1;1;2;1;3;590;10/10/2010
2010000075;1;1;1;1;1;590;20/10/2010
2010000076;1;1;1;1;5;590;06/11/2010
2010000077;1;2;1;4;6;590;17/12/2010
2010000078;1;2;2;1;3;590;28/12/2010
2010000079;5;2;1;8;6;590;16/01/2010
2010000080;5;2;1;1;1;590;20/01/2010
2010000081;1;2;1;7;6;590;06/04/2010
2010000082;5;2;1;1;7;590;04/09/2010
2010000083;4;1;1;1;1;590;23/05/2010
2010000084;2;2;1;1;6;590;29/10/2010
2010000085;1;2;2;1;1;590;22/04/2010
2010000086;1;1;1;1;6;590;24/05/2010
2010000087;2;1;1;2;6;590;29/09/2010
2010000088;1;2;1;2;1;590;02/02/2010
2010000089;1;1;1;1;7;590;28/04/2010
2010000090;1;1;1;1;6;590;20/05/2010
2010000091;1;1;3;1;1;590;17/07/2010
2010000092;5;2;1;4;1;590;20/02/2010
2010000093;1;2;1;1;6;590;03/10/2010
2010000094;1;2;1;1;6;590;24/02/2010
2010000095;5;2;1;1;6;590;03/03/2010
2010000096;4;2;1;3;6;590;25/03/2010
2010000097;1;1;1;1;1;590;31/03/2010
2010000098;5;2;1;1;6;590;21/06/2010
2010000099;3;1;1;8;2;590;22/01/2010
2010000100;1;2;1;1;3;590;05/03/2010
2010000101;1;1;1;1;6;590;14/03/2010
2010000102;1;2;1;1;1;590;03/04/2010
2010000103;5;1;1;1;1;590;11/04/2010
2010000104;1;1;1;1;5;590;31/05/2010
2010000105;1;2;1;1;3;590;03/06/2010
2010000106;1;2;1;1;6;590;02/07/2010
2010000107;1;2;1;1;6;590;22/07/2010
2010000108;1;1;1;1;1;590;14/09/2010
2010000109;1;2;1;1;6;590;15/10/2010
2010000110;1;2;1;1;3;590;31/01/2010
2010000111;3;1;1;1;7;590;21/02/2010
2010000112;1;1;1;5;6;590;09/05/2010
2010000113;1;2;1;1;1;590;25/06/2010
2010000114;1;1;1;1;3;590;16/07/2010
2010000115;1;2;1;7;1;590;19/08/2010
2010000116;1;2;1;1;1;590;21/08/2010
2010000117;1;2;1;1;3;590;05/09/2010
2010000118;3;1;1;2;6;590;06/10/2010
2010000119;1;1;1;1;2;590;22/11/2010
2010000120;3;1;1;1;6;590;14/01/2010
2010000121;4;1;1;2;7;590;27/02/2010
2010000122;5;2;1;1;7;590;28/03/2010
2010000123;1;2;1;9;6;590;05/04/2010
2010000124;1;1;1;1;6;590;03/06/2010
2010000125;3;1;1;1;6;590;01/08/2010
2010000126;2;1;1;1;6;590;20/09/2010
2010000127;3;1;1;1;7;590;21/09/2010
2010000128;1;2;1;7;3;590;09/10/2010
2010000129;3;2;1;9;1;590;08/01/2010
2010000130;1;1;9;1;3;590;17/02/2010
2010000131;3;1;2;1;1;590;21/07/2010
2010000132;1;2;1;1;1;590;26/07/2010
2010000133;1;2;9;1;7;590;19/08/2010
2010000134;1;1;8;1;6;590;10/09/2010
2010000135;1;1;1;1;7;590;21/09/2010
2010000136;2;1;1;2;7;590;20/03/2010
2010000137;1;1;1;1;3;590;28/03/2010
2010000138;1;1;1;2;3;590;09/06/2010
2010000139;1;2;1;7;6;590;07/07/2010
2010000140;1;1;1;1;6;590;10/07/2010
2010000141;1;1;1;1;1;590;18/07/2010
2010000142;1;1;1;8;1;590;26/09/2010
2010000143;1;1;1;1;3;590;20/10/2010
2010000144;3;1;1;1;6;590;14/12/2010
2010000145;5;2;1;2;6;590;11/01/2010
2010000146;1;1;1;6;1;590;16/01/2010
2010000147;1;1;1;1;5;590;08/04/2010
2010000148;1;2;1;1;6;590;18/04/2010
2010000149;1;2;1;1;3;590;09/08/2010
2010000150;5;1;1;1;6;590;20/09/2010
2010000151;1;2;1;1;3;590;22/09/2010
2010000152;1;2;1;1;1;590;22/09/2010
2010000153;1;2;1;1;3;590;06/10/2010
2010000154;1;2;1;1;1;590;04/03/2010
2010000155;1;2;1;1;6;590;27/05/2010
2010000156;1;1;1;2;1;590;10/06/2010
2010000157;1;1;1;1;3;590;13/06/2010
2010000158;1;2;1;1;3;590;14/07/2010
2010000159;2;2;1;1;1;590;17/07/2010
2010000160;1;2;1;1;3;590;09/08/2010
2010000161;1;1;1;1;5;590;02/10/2010
2010000162;1;2;1;1;6;590;13/12/2010
2010000163;2;2;1;1;6;590;04/02/2010
2010000164;1;1;1;1;3;590;13/05/2010
2010000165;1;1;1;1;1;590;07/09/2010
2010000166;1;1;1;1;6;590;13/12/2010
2010000167;5;2;1;2;6;590;16/12/2010
2010000168;1;1;1;1;1;590;04/07/2010
2010000169;1;2;1;1;5;590;17/07/2010
2010000170;1;2;8;7;1;590;14/01/2010
2010000171;5;2;1;1;7;590;15/04/2010
2010000172;4;2;1;1;6;590;11/07/2010
2010000173;1;2;1;1;3;590;28/07/2010
2010000174;1;2;1;8;7;590;13/08/2010
2010000175;1;1;1;1;1;590;28/08/2010
2010000176;1;2;1;1;7;590;03/09/2010
2010000177;1;1;1;1;6;590;28/09/2010
2010000178;1;1;1;1;6;590;06/10/2010
2010000179;1;1;2;1;3;590;07/10/2010
2010000180;3;1;1;1;2;590;06/02/2010
2010000181;2;2;1;1;2;590;04/03/2010
2010000182;1;1;1;1;6;590;22/04/2010
2010000183;1;2;9;1;6;590;25/04/2010
2010000184;1;2;1;1;7;590;08/05/2010
2010000185;5;1;1;1;6;590;18/06/2010
2010000186;1;1;1;1;1;590;15/10/2010
2010000187;2;1;1;3;5;590;23/10/2010
2010000188;5;1;1;1;1;590;13/12/2010
2010000189;1;2;1;1;1;590;06/02/2010
2010000190;3;2;1;1;6;590;01/05/2010
2010000191;1;1;1;3;6;590;15/08/2010
2010000192;1;1;1;1;3;590;09/09/2010
2010000193;3;1;1;4;7;590;06/12/2010
2010000194;3;1;1;1;7;590;14/03/2010
2010000195;1;2;1;1;6;590;07/05/2010
2010000196;1;2;1;1;3;590;04/06/2010
2010000197;1;2;9;1;1;590;07/06/2010
2010000198;1;1;1;1;1;590;07/07/2010
2010000199;1;1;1;1;6;590;10/07/2010
2010000200;3;1;1;1;7;590;14/07/2010
2010000201;1;1;1;1;3;590;20/11/2010
2010000202;1;1;1;8;2;590;16/12/2010
2010000203;5;2;1;1;6;590;20/03/2010
2010000204;3;2;1;1;6;590;18/04/2010
2010000205;3;1;1;2;6;590;11/08/2010
2010000206;1;2;1;1;3;590;20/08/2010
2010000207;1;1;1;2;6;590;16/09/2010
2010000208;3;1;1;1;3;590;28/09/2010
2010000209;1;1;1;8;3;620;13/01/2010
2010000210;3;1;1;2;6;620;23/01/2010
2010000211;1;1;1;1;1;620;27/03/2010
2010000212;3;1;1;1;3;620;24/07/2010
2010000213;5;2;1;1;6;620;05/09/2010
2010000214;3;1;1;4;6;620;10/01/2010
2010000215;1;1;1;4;1;620;11/02/2010
2010000216;1;2;1;1;1;620;09/03/2010
2010000217;3;1;1;1;6;620;15/03/2010
2010000218;1;1;1;1;6;620;28/04/2010
2010000219;2;1;1;5;1;620;14/10/2010
2010000220;3;1;2;8;3;620;19/11/2010
2010000221;2;1;1;1;6;620;04/12/2010
2010000222;3;1;1;1;7;620;02/02/2010
2010000223;1;2;1;2;7;620;28/02/2010
2010000224;1;1;1;6;5;620;31/03/2010
2010000225;5;2;1;1;6;620;03/04/2010
2010000226;4;1;1;1;7;620;11/04/2010
2010000227;1;2;1;1;6;620;05/05/2010
2010000228;1;1;1;1;6;620;09/05/2010
2010000229;1;1;1;1;7;620;23/05/2010
2010000230;1;1;1;1;1;620;05/06/2010
2010000231;3;1;6;1;6;620;28/08/2010
2010000232;1;2;2;1;3;620;22/10/2010
2010000233;3;1;1;2;6;620;05/11/2010
2010000234;5;2;1;1;3;620;21/11/2010
2010000235;3;1;1;1;5;620;12/01/2010
2010000236;1;1;2;1;3;620;15/01/2010
2010000237;1;1;1;1;6;620;20/01/2010
2010000238;2;1;1;1;6;620;05/06/2010
2010000239;1;1;1;1;3;620;16/06/2010
2010000240;2;2;1;2;6;620;20/06/2010
2010000241;1;1;1;3;6;620;15/08/2010
2010000242;2;1;1;2;1;620;16/10/2010
2010000243;1;2;1;1;1;620;21/10/2010
2010000244;3;1;1;1;7;620;08/03/2010
2010000245;1;2;1;1;1;620;14/03/2010
2010000246;1;1;1;1;1;620;18/03/2010
2010000247;2;2;1;1;7;620;01/09/2010
2010000248;1;1;1;1;6;620;27/12/2010
2010000249;1;1;1;1;6;620;05/03/2010
2010000250;2;1;1;1;5;620;08/03/2010
2010000251;1;2;1;2;1;620;31/05/2010
2010000252;1;2;2;1;3;620;06/07/2010
2010000253;1;2;2;1;1;620;13/07/2010
2010000254;1;1;1;1;3;620;15/08/2010
2010000255;1;1;1;1;1;620;25/10/2010
2010000256;1;1;1;1;6;620;27/10/2010
2010000257;2;1;1;9;2;620;30/11/2010
2010000258;3;2;1;1;3;620;30/11/2010
2010000259;1;1;2;1;5;620;06/02/2010
2010000260;1;1;4;1;1;620;11/03/2010
2010000261;1;1;2;1;3;620;03/10/2010
2010000262;1;1;1;2;3;620;15/10/2010
2010000263;3;2;1;1;5;620;07/01/2010
2010000264;1;1;1;1;1;620;19/01/2010
2010000265;1;2;1;1;3;620;11/03/2010
2010000266;3;2;1;1;6;620;20/03/2010
2010000267;1;1;1;1;6;620;23/05/2010
2010000268;1;2;1;1;2;620;02/09/2010
2010000269;1;2;3;1;3;620;04/09/2010
2010000270;1;1;1;1;1;620;11/09/2010
2010000271;1;1;9;1;3;620;22/09/2010
2010000272;3;1;3;1;1;620;14/10/2010
2010000273;1;1;1;2;1;620;07/11/2010
2010000274;5;2;1;1;7;620;27/11/2010
