num_acc;catr;circ;prof;surf;infra;situ
2011000001;3;2;1;1;0;1
2011000002;3;2;0;0;0;0
2011000003;3;2;1;1;0;1
2011000004;3;2;1;1;0;1
2011000005;3;2;1;1;0;1
2011000006;3;2;0;1;0;1
2011000007;2;3;1;1;0;1
2011000008;3;2;1;1;0;1
2011000009;3;2;1;1;5;3
2011000010;4;2;0;0;0;0
2011000011;3;2;1;1;0;1
2011000012;3;0;1;1;0;1
2011000013;4;2;1;1;5;4
2011000014;2;2;1;1;0;5
2011000015;4;2;1;1;6;1
2011000016;2;3;1;1;0;1
2011000017;3;2;0;2;0;1
2011000018;3;3;2;2;0;1
2011000019;3;2;1;7;0;3
2011000020;4;2;1;1;0;1
2011000021;3;2;0;1;0;1
2011000022;5;2;1;1;0;1
2011000023;3;2;1;2;0;1
2011000024;3;2;4;1;0;1
2011000025;3;2;0;1;0;1
2011000026;3;2;1;2;0;3
2011000027;3;2;2;1;0;1
2011000028;3;2;1;1;5;1
2011000029;3;2;1;1;0;1
2011000030;4;2;1;1;0;1
2011000031;3;2;1;1;0;3
2011000032;4;2;1;1;0;1
2011000033;4;0;1;1;0;1
2011000034;3;0;1;1;0;1
2011000035;3;2;1;1;0;1
2011000036;3;2;1;1;0;3
2011000037;3;2;1;1;0;1
2011000038;3;2;1;1;0;1
2011000039;3;3;4;1;3;1
2011000040;3;2;1;1;0;0
2011000041;3;2;1;1;0;1
2011000042;3;2;1;1;0;1
2011000043;3;2;1;1;0;1
2011000044;4;2;1;1;0;1
2011000045;3;2;1;1;0;3
2011000046;3;2;1;9;0;1
2011000047;3;2;1;2;0;1
2011000048;3;2;1;2;0;3
2011000049;3;2;0;1;0;1
2011000050;3;2;0;1;0;1
2011000051;3;2;1;1;0;1
2011000052;3;2;0;1;0;1
2011000053;4;2;1;1;0;3
2011000054;4;2;1;1;0;1
2011000055;3;2;1;2;0;4
2011000056;3;2;1;1;0;1
2011000057;3;2;1;1;0;1
2011000058;3;0;1;2;0;1
2011000059;3;2;2;1;0;1
2011000060;4;2;4;1;0;1
2011000061;3;2;1;1;0;1
2011000062;3;2;0;1;0;1
2011000063;3;2;1;1;0;4
2011000064;3;2;1;1;0;1
2011000065;3;2;1;1;5;1
2011000066;3;2;1;1;0;3
2011000067;3;2;1;1;0;1
2011000068;3;2;1;1;0;1
2011000069;5;2;1;1;0;1
2011000070;3;2;1;2;0;1
2011000071;3;2;0;1;0;1
2011000072;3;2;1;0;0;1
2011000073;3;2;1;2;0;1
2011000074;3;2;0;0;0;3
2011000075;4;2;1;1;0;1
2011000076;3;2;1;1;0;1
2011000077;3;2;1;1;0;3
2011000078;4;2;1;1;0;3
2011000079;3;2;1;2;0;1
2011000080;3;2;1;1;0;0
2011000081;3;2;1;1;0;1
2011000082;3;2;1;1;0;3
2011000083;3;2;1;1;5;1
2011000084;3;2;1;2;0;1
2011000085;3;0;1;1;0;1
2011000086;4;2;1;1;0;1
2011000087;3;2;1;1;5;1
2011000088;3;2;0;1;0;1
2011000089;3;2;1;2;0;1
2011000090;3;2;0;1;0;1
2011000091;3;2;1;1;0;3
2011000092;4;2;1;1;0;3
2011000093;4;2;1;1;0;0
2011000094;3;2;1;1;0;1
2011000095;3;2;3;1;0;1
2011000096;3;2;1;1;0;1
2011000097;3;2;1;1;0;1
2011000098;3;2;1;1;0;1
2011000099;4;2;1;1;0;1
2011000100;4;2;1;1;0;1
2011000101;3;2;1;1;0;0
2011000102;3;1;2;1;0;1
2011000103;3;2;1;1;0;1
2011000104;4;2;1;2;0;1
2011000105;3;2;1;1;0;1
2011000106;3;2;1;1;5;1
2011000107;3;2;1;2;0;1
2011000108;3;2;1;2;3;1
2011000109;3;2;1;1;0;1
2011000110;2;2;3;1;0;1
2011000111;4;2;1;1;0;1
2011000112;2;2;0;0;0;1
2011000113;3;4;1;1;0;1
2011000114;3;2;1;1;0;1
2011000115;3;2;4;1;5;1
2011000116;3;2;1;1;0;1
2011000117;4;0;1;1;0;0
2011000118;3;2;1;1;0;1
2011000119;2;2;0;1;5;1
2011000120;2;2;1;1;6;1
2011000121;3;2;2;1;0;1
2011000122;3;2;1;1;0;1
2011000123;3;2;1;1;0;1
2011000124;3;0;1;1;0;4
2011000125;4;2;1;1;0;4
2011000126;4;2;2;1;0;1
2011000127;3;3;2;1;0;1
2011000128;3;2;1;2;0;1
2011000129;3;2;1;9;0;1
2011000130;4;2;1;1;0;1
2011000131;3;2;0;1;0;1
2011000132;3;2;1;1;0;1
2011000133;3;2;1;1;0;1
2011000134;4;0;0;1;0;1
2011000135;3;2;1;1;0;3
2011000136;3;2;1;2;0;1
2011000137;3;2;0;1;0;1
2011000138;3;2;1;1;0;1
2011000139;4;2;1;1;0;1
2011000140;4;2;1;1;0;3
2011000141;3;2;1;2;0;3
2011000142;3;2;1;1;0;1
2011000143;3;2;1;1;0;4
2011000144;3;2;1;1;0;1
