Num_Acc;catr;circ;prof;surf;infra;situ
2015000001;3;2;0;2;0;1
2015000002;3;2;1;1;0;1
2015000003;3;2;0;1;0;1
2015000004;4;2;1;1;0;1
2015000005;3;2;1;1;0;1
2015000006;3;2;1;2;0;1
2015000007;3;2;1;1;0;1
2015000008;3;2;1;1;0;1
2015000009;3;2;0;1;5;1
2015000010;4;2;1;1;0;0
2015000011;3;2;1;1;0;1
2015000012;4;2;0;1;0;1
2015000013;3;2;1;1;0;1
2015000014;3;2;0;0;0;0
2015000015;3;2;1;1;0;1
2015000016;4;2;1;1;0;3
2015000017;3;2;0;2;0;1
2015000018;3;2;1;1;0;1
2015000019;3;2;0;1;0;1
2015000020;3;2;0;2;0;1
2015000021;3;2;1;1;5;1
2015000022;4;0;1;1;0;3
2015000023;3;2;1;1;0;1
2015000024;3;2;3;1;0;1
2015000025;3;2;0;1;0;1
2015000026;3;2;1;2;0;1
2015000027;3;2;1;1;0;1
2015000028;3;2;1;2;0;1
2015000029;4;2;1;2;0;1
2015000030;3;2;1;2;0;1
2015000031;4;2;1;1;0;4
2015000032;3;2;1;2;0;1
2015000033;3;2;0;1;0;1
2015000034;3;2;1;1;0;1
2015000035;3;2;1;1;0;1
2015000036;3;2;1;1;0;1
2015000037;3;2;1;1;0;1
2015000038;6;0;0;1;0;4
2015000039;3;2;1;1;0;1
2015000040;3;2;1;1;0;1
2015000041;3;2;1;1;0;1
2015000042;3;2;1;1;0;1
2015000043;3;2;1;2;0;3
2015000044;3;2;2;1;0;3
2015000045;3;2;1;1;5;1
2015000046;3;2;1;1;0;3
2015000047;3;2;1;1;0;1
2015000048;3;2;1;1;0;1
2015000049;3;2;1;1;0;1
2015000050;3;2;1;2;0;1
2015000051;3;2;1;1;0;1
2015000052;4;2;2;1;2;1
2015000053;3;2;0;2;0;3
2015000054;3;2;0;1;0;3
2015000055;3;2;1;1;0;1
2015000056;3;2;1;1;6;1
2015000057;3;2;1;1;0;1
2015000058;3;2;2;1;0;3
2015000059;3;2;1;1;0;1
2015000060;3;2;1;1;0;3
2015000061;3;2;0;1;0;3
2015000062;4;2;1;1;0;1
2015000063;3;2;1;2;0;1
2015000064;3;2;0;2;0;1
2015000065;3;2;1;2;0;3
2015000066;3;2;1;2;0;3
2015000067;3;2;1;1;0;1
2015000068;3;2;1;2;0;1
2015000069;3;2;1;2;0;1
2015000070;3;2;1;1;0;1
2015000071;3;2;0;1;0;1
2015000072;3;2;0;1;0;1
2015000073;3;2;1;1;0;1
2015000074;3;2;1;1;0;1
2015000075;3;0;0;0;0;0
2015000076;3;0;0;0;0;1
2015000077;3;2;2;1;0;1
2015000078;3;2;1;1;0;1
2015000079;3;2;1;1;0;3
2015000080;3;2;1;2;0;3
2015000081;3;2;0;1;2;1
2015000082;4;2;1;9;5;1
2015000083;3;2;1;1;0;3
2015000084;3;2;1;1;0;1
2015000085;4;2;0;1;0;1
2015000086;3;2;1;1;0;1
2015000087;3;2;1;1;0;3
2015000088;3;2;1;1;0;1
2015000089;3;2;1;2;0;3
2015000090;3;2;0;1;0;1
2015000091;4;1;1;2;0;1
2015000092;3;2;1;2;0;1
2015000093;4;2;1;1;0;1
2015000094;3;2;0;1;5;1
2015000095;3;2;1;1;0;4
2015000096;4;2;1;1;6;1
2015000097;4;2;1;2;0;1
2015000098;5;2;1;1;0;1
2015000099;3;3;1;1;0;1
2015000100;3;2;1;1;0;1
2015000101;3;2;1;1;0;1
2015000102;3;2;0;1;0;1
2015000103;3;2;0;0;0;0
2015000104;3;2;0;0;0;0
2015000105;3;2;1;1;0;1
2015000106;2;2;1;1;0;1
2015000107;2;2;1;1;0;1
2015000108;2;2;1;1;0;1
2015000109;2;2;1;2;0;1
2015000110;3;0;0;1;0;1
2015000111;3;2;2;2;0;1
2015000112;2;2;0;1;0;3
2015000113;4;2;1;2;0;1
2015000114;4;3;0;0;0;0
2015000115;4;2;1;1;0;1
2015000116;3;2;1;1;0;1
2015000117;3;2;1;1;0;3
2015000118;3;0;1;1;0;3
2015000119;4;2;1;1;0;1
2015000120;6;2;1;2;0;1
2015000121;3;2;2;1;0;1
2015000122;4;2;1;1;0;1
2015000123;4;2;1;1;0;3
2015000124;3;2;1;1;0;1
2015000125;3;2;0;2;0;1
2015000126;3;2;2;1;0;3
2015000127;3;2;1;1;0;1
2015000128;3;2;0;0;0;1
2015000129;3;2;0;1;0;3
2015000130;3;2;3;1;0;1
2015000131;3;2;1;1;0;1
2015000132;3;2;2;1;0;1
2015000133;3;2;0;1;5;1
2015000134;3;2;0;1;6;1
2015000135;3;2;2;7;0;3
2015000136;3;2;0;2;0;1
2015000137;4;2;2;1;0;4
2015000138;3;2;1;1;5;1
2015000139;3;2;1;1;0;4
2015000140;3;2;0;1;0;1
2015000141;3;2;1;1;0;1
2015000142;3;0;1;2;0;1
2015000143;3;2;1;1;0;0
2015000144;3;2;1;7;6;1
2015000145;3;2;1;1;6;1
2015000146;3;1;1;1;3;1
2015000147;3;2;1;1;0;3
2015000148;6;1;1;1;0;1
2015000149;3;2;1;1;5;4
2015000150;4;1;2;1;0;4
2015000151;4;2;0;1;6;1
2015000152;3;1;1;1;0;1
2015000153;3;2;1;2;0;3
2015000154;3;2;1;1;0;1
2015000155;3;2;1;1;0;1
2015000156;3;2;2;1;0;1
2015000157;3;2;3;1;0;1
2015000158;3;2;2;1;0;1
2015000159;3;2;0;2;0;1
2015000160;3;2;1;1;0;1
2015000161;3;2;1;1;0;1
2015000162;3;2;0;1;0;1
2015000163;3;2;1;1;0;4
2015000164;3;2;2;2;0;1
2015000165;3;2;0;2;0;1
2015000166;3;2;1;1;0;3
2015000167;4;2;2;1;0;1
2015000168;3;2;1;1;0;1
2015000169;4;2;0;1;0;1
2015000170;3;2;4;1;0;3
2015000171;3;3;1;1;0;1
2015000172;3;1;1;1;0;1
2015000173;3;2;1;2;5;1
2015000174;3;2;1;2;0;1
2015000175;4;2;1;2;0;1
2015000176;3;2;1;1;0;1
2015000177;3;2;0;1;2;0
2015000178;3;2;1;1;0;1
2015000179;3;2;0;2;2;1
2015000180;3;2;1;1;0;1
2015000181;3;2;1;1;0;1
2015000182;3;2;1;2;5;0
2015000183;3;2;2;2;0;1
2015000184;3;2;1;1;0;1
2015000185;3;2;1;1;0;3
2015000186;3;2;1;1;0;1
2015000187;3;2;1;1;0;1
2015000188;3;2;1;2;0;3
2015000189;3;2;0;1;0;1
2015000190;3;0;1;1;0;1
2015000191;3;2;1;1;0;1
2015000192;3;2;0;1;0;1
2015000193;3;2;1;2;5;1
2015000194;3;2;1;1;0;1
2015000195;1;2;1;7;0;1
2015000196;1;1;0;1;0;1
2015000197;1;2;1;1;0;2
2015000198;1;3;3;1;0;1
2015000199;1;2;1;1;0;1
2015000200;1;3;2;1;0;1
2015000201;1;1;1;1;0;1
2015000202;1;3;1;1;0;1
2015000203;3;2;0;1;0;1
2015000204;4;2;1;1;0;1
2015000205;3;2;0;2;0;3
2015000206;3;2;1;1;0;1
2015000207;3;2;0;1;0;1
2015000208;3;2;2;1;0;1
2015000209;3;2;1;1;5;1
2015000210;4;2;0;1;0;3
2015000211;3;2;1;1;0;1
2015000212;2;2;0;1;0;1
2015000213;3;2;1;1;0;1
2015000214;3;2;1;1;0;1
2015000215;3;3;1;1;0;1
2015000216;3;2;0;1;0;1
2015000217;3;2;1;1;0;1
2015000218;3;2;1;1;0;1
2015000219;3;2;1;1;0;1
2015000220;3;2;1;1;5;1
2015000221;3;2;0;1;0;1
2015000222;3;2;1;2;0;1
2015000223;3;2;1;1;0;1
2015000224;3;2;1;1;5;1
2015000225;3;2;3;1;2;1
2015000226;3;0;2;2;0;1
2015000227;3;2;1;1;0;3
2015000228;3;2;1;1;5;1
2015000229;3;2;1;1;0;1
2015000230;3;2;1;1;0;1
2015000231;3;2;0;1;5;1
2015000232;3;2;1;2;0;1
2015000233;3;2;1;2;0;3
2015000234;3;2;0;1;0;1
2015000235;3;2;1;1;0;1
2015000236;3;2;1;1;5;1
2015000237;3;2;1;1;0;1
2015000238;3;2;0;0;0;1
2015000239;3;2;1;1;0;1
2015000240;3;2;1;1;4;1
2015000241;4;2;1;1;0;1
