code;libel
1;Bicyclette
2;Cyclomoteur
3;Voiturette
4;Scooter immatricule
5;Motocyclette
6;Side-car
7;VL
8;VL caravane
9;VL remorque
10;VU
11;VU caravane
12;VU remorque
13;PL moins 7,5T
14;PL plus 7,5T
15;PL remorque
16;Tracteur
17;Tracteur semi remorque
18;Transport commun
19;Tramway
20;Engin special
21;Tracteur agricole
30;Scooter Moins 50cc
31;Motocyclette moins 125cc
32;Scooter moins 125cc
33;Motocyclette plus 125cc
34;Scooter plus 125cc
35;Quad leger
36;Quad lourd
37;Autobus
38;Autocar
39;Train
40;Tramway
99;Autre vehicule
