code;libel
1;Sans changement de direction
2;Meme sens meme file
3;Entre 2 files
4;En marche arriere
5;A contresens
6;En franchissant le terre-plein central
7;Dans le couloir du bus meme sens
8;Dans le couloir du bus sens inverse
9;En s inserant
10;En faisant demi tour
11;A gauche
12;A droite
13;A gauche
14;A droite
15;A gauche
16;A droite
17;A gauche
18;A droite
19;Traversant la chaussee
20;Manoevre de stationnement
21;manoevre d evitement
22;Ouverture de porte
23;Arrete hors stationnement
24;En stationnement
