num_acc;catv;obs;obsm;choc;manv;num_veh
2011000001;2;0;2;1;17;A01
2011000001;7;0;0;6;15;B02
2011000002;10;0;2;2;10;A01
2011000002;33;0;2;1;1;B02
2011000003;7;0;1;3;1;A01
2011000004;1;0;2;0;1;A01
2011000004;1;0;2;0;1;B02
2011000004;7;0;9;1;15;C03
2011000005;7;0;1;2;1;A01
2011000006;1;1;0;1;0;A01
2011000006;7;0;0;4;23;B02
2011000007;33;0;2;8;2;B02
2011000007;7;0;2;5;12;A01
2011000008;10;0;0;8;10;A01
2011000008;33;0;2;1;17;B02
2011000009;10;8;0;2;1;A01
2011000010;7;0;1;5;4;A01
2011000011;33;13;0;1;1;A01
2011000012;7;0;2;8;20;A01
2011000012;10;0;2;3;1;B02
2011000013;7;6;0;2;15;A01
2011000014;30;0;2;1;1;A01
2011000014;30;0;2;1;1;B02
2011000015;7;0;1;2;1;A01
2011000016;7;0;2;2;2;A01
2011000016;7;0;2;6;2;B02
2011000017;7;0;2;8;15;A01
2011000017;33;0;2;1;1;B02
2011000018;7;0;0;1;13;A01
2011000018;14;0;0;1;1;B02
2011000019;7;2;0;2;1;A01
2011000020;1;0;2;2;1;B02
2011000020;7;0;2;8;24;A01
2011000021;7;0;2;1;17;A01
2011000021;7;0;2;1;1;B02
2011000022;7;0;2;3;1;A01
2011000022;1;0;2;3;1;B02
2011000023;7;0;2;3;13;A01
2011000023;7;13;2;8;1;B02
2011000024;7;0;2;3;13;A01
2011000024;17;0;2;3;1;B02
2011000024;10;0;2;2;1;C03
2011000025;7;13;0;3;1;A01
2011000026;7;8;0;2;1;A01
2011000027;7;0;0;6;10;A01
2011000027;2;1;2;1;1;B02
2011000028;30;0;2;8;1;B02
2011000028;7;0;2;3;15;A01
2011000029;7;0;1;2;1;A01
2011000030;7;0;2;1;1;A01
2011000030;31;0;2;1;5;B02
2011000031;7;8;0;8;1;A01
2011000032;7;1;1;2;1;A01
2011000032;7;0;2;7;24;B02
2011000033;38;0;1;6;20;A01
2011000034;7;0;2;7;2;A01
2011000034;2;0;2;8;2;B02
2011000035;17;0;0;4;2;B02
2011000035;1;0;2;1;2;A01
2011000036;7;8;0;1;0;A01
2011000037;7;0;2;2;17;A01
2011000037;1;0;2;4;13;B02
2011000038;7;0;2;2;17;A01
2011000038;7;0;2;6;15;B02
2011000039;7;0;2;3;11;A01
2011000039;7;0;2;2;1;B02
2011000040;7;13;0;2;1;A01
2011000041;33;0;2;1;1;B02
2011000041;10;0;2;3;15;A01
2011000042;7;0;1;3;1;A01
2011000043;33;0;2;1;1;B02
2011000043;7;0;2;8;15;A01
2011000044;7;0;2;3;2;A01
2011000044;1;0;0;0;0;B02
2011000045;7;13;0;1;1;A01
2011000046;7;0;2;3;9;A01
2011000046;33;0;2;1;1;B02
2011000047;7;13;0;1;1;A01
2011000048;7;13;0;1;13;A01
2011000049;7;0;0;6;15;B02
2011000049;33;0;2;1;17;A01
2011000050;7;0;2;2;1;B02
2011000050;7;0;2;3;17;A01
2011000051;21;0;2;8;15;A01
2011000051;33;0;2;7;1;B02
2011000052;7;1;2;1;13;A01
